Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
DTSS,Datasea Inc.,0.9,18849461.4,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/dtss,
PLAY,"Dave & Buster&#39;s Entertainment, Inc.",39.36,1213519849.92,,2014.0,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/play,
DTEA,DAVIDsTEA Inc.,1.75,45612500.5,,2015.0,Consumer Non-Durables,Food Chains,https://old.nasdaq.com/symbol/dtea,
DFNL,Davis Select Financial ETF,23.28,138516000.0,,,,,https://old.nasdaq.com/symbol/dfnl,
DINT,Davis Select International ETF,17.665,123655000.0,,,,,https://old.nasdaq.com/symbol/dint,
DUSA,Davis Select U.S. Equity ETF,23.785999999999998,199802400.0,,,,,https://old.nasdaq.com/symbol/dusa,
DWLD,Davis Select Worldwide ETF,22.98,220608000.0,,,,,https://old.nasdaq.com/symbol/dwld,
DWSN,Dawson Geophysical Company,2.11,48997692.05,,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/dwsn,
DBVT,DBV Technologies S.A.,6.75,199532119.5,29560314.0,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/dbvt,
DDMX,DD3 Acquisition Corp.,10.15,73315480.0,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/ddmx,
DDMXU,DD3 Acquisition Corp.,10.38,74976816.0,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/ddmxu,
DDMXW,DD3 Acquisition Corp.,0.3505,0.0,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/ddmxw,
DCPH,"Deciphera Pharmaceuticals, Inc.",32.54,1648070919.06,,2017.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/dcph,
TACO,"Del Taco Restaurants, Inc.",9.59,355371374.68,,2014.0,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/taco,
TACOW,"Del Taco Restaurants, Inc.",0.5346,0.0,,2014.0,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/tacow,
DMPI,"DelMar Pharmaceuticals, Inc.",0.405,4612335.615,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/dmpi,
DNLI,Denali Therapeutics Inc.,15.38,1474044038.7,,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/dnli,
DENN,Denny&#39;s Corporation,21.89,1300864275.59,,,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/denn,
XRAY,DENTSPLY SIRONA Inc.,54.11,12130567237.04,,1987.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/xray,
DDOC,"DERMAdoctor, Inc.",,0.0,,,,,https://old.nasdaq.com/symbol/ddoc,
DRMT,Dermavant Sciences Ltd.,,0.0,,,,,https://old.nasdaq.com/symbol/drmt,
DERM,"Dermira, Inc.",5.69,309524363.95,,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/derm,
DMTK,"DermTech, Inc.",6.12,73221442.56,,2017.0,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/dmtk,
DMTKW,"DermTech, Inc.",0.12,0.0,,2017.0,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/dmtkw,
DEST,Destination Maternity Corporation,0.3701,5265087.3821,,,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/dest,
DXLG,"Destination XL Group, Inc.",1.58,78932532.42,,,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/dxlg,
DSWL,"Deswell Industries, Inc.",2.57,40902164.23,,1995.0,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/dswl,
DXCM,"DexCom, Inc.",155.35,14165743391.15,,2005.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/dxcm,
DFBH,DFB Healthcare Acquisitions Corp.,10.18,318125000.0,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/dfbh,
DFBHU,DFB Healthcare Acquisitions Corp.,10.53,0.0,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/dfbhu,
DFBHW,DFB Healthcare Acquisitions Corp.,1.2699,0.0,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/dfbhw,
DHXM,DHX Media Ltd.,1.605,216639165.165,,,,,https://old.nasdaq.com/symbol/dhxm,
DMAC,DiaMedica Therapeutics Inc.,1.84,22000648.16,,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/dmac,
DEAC,Diamond Eagle Acquisition Corp.,9.92,496000000.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/deac,
DEACU,Diamond Eagle Acquisition Corp.,10.19,356650000.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/deacu,
